loan_id,no_of_dependents,education,self_employed,annual_income,loan_amount,credit_score,res_assets,com_assets,bank_assets,total_assets,loan_status
1,2,1,No,96000,299000,778,24000,176000,80000,280000,1
2,0,0,Yes,41000,122000,417,27000,22000,33000,82000,0
3,3,1,No,91000,297000,506,71000,45000,128000,244000,0
4,3,1,No,82000,307000,467,182000,33000,79000,294000,0
5,5,0,Yes,98000,242000,382,124000,82000,50000,256000,0
6,0,1,Yes,48000,135000,319,68000,83000,51000,202000,0
7,5,1,No,87000,330000,678,225000,148000,43000,416000,1
8,2,1,Yes,57000,150000,382,132000,57000,60000,249000,0
9,0,1,Yes,8000,22000,782,13000,8000,6000,27000,1
10,5,0,No,11000,43000,388,32000,14000,16000,62000,0
11,4,1,Yes,29000,112000,547,81000,47000,31000,159000,1
12,2,0,Yes,67000,227000,538,153000,58000,64000,275000,0
13,3,0,Yes,50000,116000,311,64000,96000,43000,203000,0
14,2,1,Yes,91000,315000,679,108000,166000,50000,324000,1
15,1,0,No,19000,74000,469,19000,12000,19000,50000,0
16,5,0,No,47000,107000,794,57000,39000,44000,140000,1
17,2,1,Yes,5000,16000,663,13000,1000,7000,21000,1
18,4,0,Yes,29000,94000,780,29000,28000,43000,100000,1
19,2,1,No,27000,103000,736,10000,0,33000,43000,1
20,5,1,No,63000,146000,652,103000,35000,59000,197000,1
21,2,1,No,50000,194000,315,95000,16000,61000,172000,0
22,4,1,No,58000,140000,530,38000,113000,54000,205000,0
23,4,1,Yes,65000,257000,311,131000,17000,85000,233000,0
24,0,0,Yes,5000,14000,551,9000,6000,3000,18000,1
25,0,0,No,49000,98000,324,38000,87000,33000,158000,0
26,5,0,No,31000,95000,514,79000,31000,26000,136000,0
27,4,1,No,82000,281000,696,115000,106000,72000,293000,1
28,4,0,Yes,24000,56000,662,45000,42000,25000,112000,1
29,5,0,Yes,70000,240000,336,23000,119000,97000,239000,0
30,3,0,Yes,90000,315000,850,218000,124000,80000,422000,1
31,2,0,No,98000,253000,313,202000,52000,93000,347000,0
32,2,1,No,57000,120000,363,36000,74000,43000,153000,0
33,1,0,Yes,8000,16000,436,7000,2000,10000,19000,0
34,5,0,Yes,84000,220000,830,38000,39000,54000,131000,1
